sitename,Country or Area Name,Full Address,Latitude,Longitude,locationId,sensorId,country,sensorType,displayName,sensor_name,sensor_unit,lastUpdated,PROJECT_NAME,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,New Station,Parameter,Value,utcoff
Lazarevac ,Serbia,Beograd Lazarevac ,44.384113,20.265436,784138.0,4275878,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,539,642,,44.384113,20.265436,,100143,,,,
Melton,Australia,Melton,-37.7064552,144.5669,10751.0,35868,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,210,1040,,-37.7064552,144.5669,,100144,,,,
Beograd_11,Serbia,Beograd FranÅ¡a Deperea,44.794262,20.463173,784137.0,4276188,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.794262,20.463173,,100145,,,,
Beograd_12,Serbia,Beograd DragiÅ¡a MiÅ¡oviÄ‡,44.777237,20.457029,784136.0,4275718,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.777237,20.457029,,100146,,,,
KrakÃ³w,Poland,"KrakÃ³w, Aleja KrasiÅ„skiego",50.057678,19.926189,10752.0,35870,PL,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,561,641,,50.057678,19.926189,,100147,,,,
Melbourne_6,Australia,Melbourne CBD,-37.8073959,144.97,10753.0,35872,AU,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,210,1041,,-37.8073959,144.97,,100148,,,,
Beograd_13,Serbia,Beograd Despota Stefana ,44.81681468,20.4699406,784135.0,4276176,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,643,,44.81681468,20.4699406,,100149,,,,
Beograd_14,Serbia,Beograd BorÄa,44.873952,20.446585,784134.0,4275855,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.873952,20.446585,,100150,,,,
Beograd_15,Serbia,Beograd BeÅ¾anijska kosa,44.815028,20.3779,784133.0,4275903,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.815028,20.3779,,100151,,,,
Beograd_16,Serbia,Beograd Barajevo,44.58871,20.429121,784132.0,4276120,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,539,642,,44.58871,20.429121,,100152,,,,
Beograd Banovo brdo,Serbia,Beograd Banovo brdo,44.777284,20.409701,784131.0,4276078,RS,reference grade,PM2.5,pm25 µg/m³,,,OpenAQ,Y,540,642,,44.777284,20.409701,,100153,,,,
